"","id","species","ht","missing","area_prop"
"374",91,"ILCR",1.025,41.25,0.6125
"685",91,"MACLASS",1.5,35,1.08
"80",91,"MACLASS",1.19444444444444,33.8888888888889,1.7625
"29",91,"RHIN1",1,5,1.65
"780",91,"RHSP1",1,8.33333333333333,0.915
"117",92,"CASA",0.7,48.3333333333333,0.615
"196",92,"EU9",1.3,15,1.825
"991",92,"EU9",1.8,50,0.575
"81",92,"MACLASS",1.2,52.5,1.3173125
"600",92,"NEOL",1.73333333333333,40,0.58875
"841",95,"MACLASS",1.07,55.5,0.7375
"851",96,"MACLASS",1.14583333333333,34.7916666666667,1.78625
"86",97,"MACLASS",1.11458333333333,59.796122995,0.6653125
"728",97,"RHIN1",0.3,37.5,0.675
"146",97,"RHSP1",0.6,10,1.35
"88",99,"MACLASS",0.910185185185185,40.5555555555556,1.211875
"891",100,"MACLASS",0.644444444444444,34.7309027777778,0.829740625
"181",100,"PHGL",1.1,12.5,2.375
"783",100,"RHSP1",1.45,12.5,0.72
"90",102,"MACLASS",0.876136363636364,37.3863636363636,1.351875
"911",103,"MACLASS",0.839423076923077,43.6538461538462,1.43
"1112",103,"NADO",1.4,65,0.99
"194",105,"CASA",1.45,11.55172414,2.2765
"96",110,"MACLASS",0.65,45,0.5525
"97",111,"MACLASS",1.43333333333333,25,0.5875
"837",111,"ZESE",1.8,45,0.5625
"988",111,"ZESE",1.7,50,1.5
"119",112,"CASA",1.725,62.960526315,1.1426
"981",112,"MACLASS",0.75,40.25,0.9875
"6611",112,"PRPE2",0.85,42.5,0.54
"612",114,"ABGR4",0.9,35,0.75
"5",114,"ABGR4",0.9,45,0.515
"424",114,"LE16",1.35,22.5,1.9125
"799",114,"LE16",1.4,40,0.5625
"99",114,"MACLASS",1.125,67.5,1.2625
"695",114,"PRX",1.6,35,1.2
"790",114,"PRX",1.1,40,0.8825
"1414",114,"PRX",1.9,80,0.5625
"1483",114,"PRX",1.8,95,0.5625
"407",114,"RHSP1",1.05,20,0.585
"210",114,"SPTH2",1.4,10,2.88
"871",114,"SPTH2",1.3,20,0.81
"100",115,"MACLASS",1.00833333333333,40.8333333333333,1.09
"469",118,"CAJA9",1.9,20,0.5625
"103",118,"MACLASS",1.15,50,0.850625
"786",118,"RHSP1",1.16666666666667,10,0.8225
"676",119,"EUJAAM",1.65,30,1.5
"104",119,"MACLASS",0.860714285714286,56.7857142857143,0.92375
"35",120,"HIMU3",1.7,5,0.64
"207",121,"SC3",1.4,15,0.51
"1061",123,"MACLASS",1.26666666666667,77.5,0.7175
"1160",123,"TRFO",1.9,65,0.68
"893",123,"TRFO",1.75,67.5,0.505
"436",125,"CESI4",1.6,25,0.5625
"601",125,"RHIN1",0.6,30,0.5625
"108",126,"MACLASS",0.86875,36.25,0.671875
"109",127,"MACLASS",0.383333333333333,34.4444444444444,0.51875
"110",128,"MACLASS",0.683333333333333,42.962962962963,0.639375
"62",129,"LACA2",0.4,15,0.7225
"111",129,"MACLASS",0.7125,16.25,0.62
"437",132,"CESI4",1.7,20,0.78
"829",132,"MA17",1.8,40,0.625
"4361",132,"MA17",0.716666666666667,49.1666666666667,0.615
"504",132,"MEAZ",1.1,46.6666666666667,0.560625
"896",132,"TRSE6",1.2,42.5,0.58
"22",133,"RHSP1",0.8,5,0.75
"115",134,"MACLASS",0.803333333333333,64.1666666666667,0.925
"1191",140,"MACLASS",1.18645833333333,48.2291666666667,1.6775
"122",143,"MACLASS",1.4,50,0.5314
"427",143,"NADO",1.3,20,2.925
"692",143,"OSFR",1.5,30,1.5
"123",144,"MACLASS",1.03571428571429,54.2857142857143,1.235
"124",145,"MACLASS",0.816666666666667,32.5,0.526875
"125",146,"MACLASS",1.3,39.210526315,0.6426
"345",146,"RHIN1",0.5,20,1.6
"1261",147,"MACLASS",1.05357142857143,45.631627145119,1.2387125
"128",149,"MACLASS",0.7,48.75,1.2475
"429",150,"ABGR4",1.5,25,1.8
"174",150,"ELPU",1.1,15,0.595
"195",150,"ELPU",1.3,15,0.6
"212",150,"ELPU",1.6,10,1.47
"197",150,"GA2",1.3,15,0.525
"458",150,"QUAL2",1.6,20,2.07
"412",150,"SPTH2",1.2,25,0.56
"91",151,"CAJA9",1.475,20.142857145,0.83465
"130",151,"MACLASS",1.33333333333333,41.6666666666667,0.7051
"391",152,"JUCH",0.85,58.1041666675,0.58875
"163",152,"RHSP1",0.9,12.5,2.61
"354",152,"RHSP1",0.7,20,0.66
"607",152,"RHSP1",0.7,38,0.54
"603",153,"RHIN21",0.5,32.5,1.125
"173",154,"DUER",1.2,15,0.6
"132",154,"MACLASS",0.738888888888889,38.6111111111111,0.575
"387",155,"CAJA9",1.2,20,0.725
"389",155,"CUMA",1.2,20,0.525
"133",155,"MACLASS",0.916666666666667,23.3333333333333,1.79
"763",155,"MAJA",0.5,40,1.26
"713",157,"NADO",1.8,35,2.8125
"198",158,"ILCR",1.3,10,0.72
"377",158,"ILCR",1.33333333333333,31.6666666666667,0.5725
"1341",158,"MACLASS",1.11428571428571,51.4285714285714,1.1275
"135",159,"MACLASS",0.69469696969697,65.0075757575758,1.178125
"136",160,"MACLASS",0.7,32.9603382733333,1.66543125
"180",160,"OSFR",1.1,18.18181818,0.628
"98",161,"RHSP1",0.4,15,0.825
"1381",163,"MACLASS",0.75,32,0.79
"564",165,"HYMO2",0.7,30,1.125
"140",165,"MACLASS",0.840462962962963,63.2426805025926,1.51868125
"1411",166,"MACLASS",1.06428571428571,41.7857142857143,1.12
"299",167,"ABGR4",0.525,20,1.36
"142",167,"MACLASS",0.808333333333333,26.6666666666667,0.7925
"143",168,"MACLASS",0.97,37.72972973,0.76315
"475",170,"JUCH",1.8,20,0.5625
"235",170,"RHSP1",1.9,15,0.68
"623",171,"RHIN21",0.9,30,0.75
